T	0	0	1	4	0	0	0	0	0	0
M	59	3587	80	80	0	0	0	0	0	0
M	254	3587	80	80	0	0	0	0	0	0
M	440	3587	80	80	0	0	0	0	0	0
M	633	3587	80	80	0	0	0	0	0	0
T	0	0	6	11	0	0	0	0	0	0
M	838	3580	80	80	0	0	0	0	0	0
M	71	3775	80	80	0	0	0	0	0	0
M	265	3776	80	80	0	0	0	0	0	0
M	450	3776	80	80	0	0	0	0	0	0
M	637	3775	80	80	0	0	0	0	0	0
M	842	3776	80	80	0	0	0	0	0	0
T	0	0	13	37	0	0	0	0	0	0
C	80	68	80	80	0	0	0	0	0	0
C	262	68	80	80	0	0	0	0	0	0
C	456	68	80	80	0	0	0	0	0	0
C	649	68	80	80	0	0	0	0	0	0
C	844	68	80	80	0	0	0	0	0	0
C	68	254	80	80	0	0	0	0	0	0
C	258	253	80	80	0	0	0	0	0	0
C	449	253	80	80	0	0	0	0	0	0
F	640	251	80	80	646	411	103	147	55	-33
C	841	251	80	80	827	409	103	147	0	0
C	640	251	80	80	29	601	153	147	0	0
C	841	251	80	80	201	607	183	147	0	0
C	56	442	80	80	385	610	193	147	0	0
C	252	442	80	80	573	610	193	147	0	0
C	447	445	80	80	757	610	193	147	20	0
J	0	0	0	0	0	795	193	147	20	0
C	0	0	0	0	265	795	193	147	20	0
C	0	0	0	0	660	795	193	147	20	0
C	0	0	0	0	71	984	193	147	20	0
C	0	0	0	0	465	984	193	147	20	0
C	0	0	0	0	767	984	193	147	20	0
C	0	0	0	0	18	1171	193	147	20	0
C	0	0	0	0	223	1171	193	147	20	0
C	0	0	0	0	418	1171	193	147	20	0
C	0	0	0	0	616	1171	193	147	20	0
